trial,cue_type,target_type,position,y_position,reaction_time,correct
1,none,compatible,right,,0.5082094999961555,True
2,none,neutral,right,,0.45245129999239,True
3,spatial,compatible,right,-100,0.37048650000360794,True
4,center,neutral,right,,0.33499099998152815,True
5,double,neutral,left,,0.4157864000007976,True
6,center,compatible,right,,0.4449001000029966,True
7,none,neutral,left,,0.44843519999994896,True
8,none,neutral,right,,0.5267256999795791,True
9,none,incompatible,left,,0.5047682000149507,True
10,spatial,compatible,right,100,0.35537579999072477,True
